flip_date,pre_mean_pnl,post_mean_pnl
2024-02-03,620.2012945,713.3815109999999
2024-02-06,588.7660002499999,3615.5376033333337
2024-03-03,544.662347,1279.7610698333333
2024-03-06,2976.6432768,5051.8984101999995
2024-03-07,2574.337432,6035.276191749999
2024-03-10,2656.546147,11788.2696425
2024-03-11,1279.7610698333333,23576.539285
2024-05-04,6640.571137333333,-930.1508347142857
2024-05-09,2501.0517842857143,26006.585436000005
2024-05-10,2505.830954857143,36126.297208
2024-05-11,502.42179071428575,71574.11848800001
2024-07-05,-198.14637166666668,16592.052969333334
2024-08-03,250.44079250000001,957.8522457142857
2024-08-06,1198.5520562000002,3542.8923859999995
2024-08-07,1020.31652,4251.470863199999
2024-08-08,874.5570171428571,5324.516633249999
2024-08-09,907.2944774285716,7099.355510999999
2024-08-10,797.1864740000001,7950.7599475
2024-10-03,-1517.091342,2728.3510231428577
2024-10-04,482.9179290000001,2126.0182974285713
2024-10-10,3083.054908857143,20158.4422825
2024-12-02,-1925.519024,-2861.5043629999996
2024-12-05,358.720731,97262.0337955
2024-12-06,286.9765848,121091.74685319999
2025-02-02,8716.519087,134563.530823
2025-03-02,6028.486793,307023.5354785
2025-04-02,2553.537968,78279.9438175
2025-04-03,209715.213044,-25515.678949999998
2025-05-02,3187.719363,152617.8518135
