day_offset,daily_total_pnl_mean,daily_total_pnl_std,n_events
-7,58568.60698933333,154596.81381845768,39
-6,16466.245430416668,57611.60017100537,36
-5,4575.796914138889,12664.588913604552,36
-4,41358.32746557143,125087.98990472312,35
-3,54992.80717420588,153147.6434874935,34
-2,39542.0732950606,120832.16555875412,33
-1,68648.22259715151,168184.8576212871,33
0,54863.431925648656,134290.90476477428,37
1,33949.64668513889,114098.93205474249,36
2,11460.779623722223,36296.130806379566,36
3,16375.300716200001,64181.6139597839,30
4,32624.823119382352,125768.36649384908,34
5,34366.94661356757,99773.2545435156,37
6,51388.398624128204,149640.02602039356,39
7,34801.766113294114,114822.09564130825,34
