sentiment_strength,side,trades_count,total_pnl,avg_pnl,win_rate,avg_notional
extreme_fear,buy,1151,-3794.6272449999997,-3.2968090747176366,0.0634231103388358,4705.04854908775
extreme_fear,sell,1143,7545.579384,6.601556766404199,0.5188101487314086,3621.6819685039372
fear,buy,5834,1132500.051731,194.1206807903668,0.34881727802536855,5380.334892012342
fear,sell,4887,158409.317287,32.41442956558216,0.4630652752199714,5115.507180274197
neutral,buy,3575,570079.311606,159.4627445051748,0.2895104895104895,5683.639725874125
neutral,sell,4219,229856.923969,54.481375674093385,0.48447499407442524,5256.808883621711
greed,buy,5288,-58107.688233,-10.988594597768532,0.3316944024205749,4784.6783358547655
greed,sell,7251,952140.316955,131.3115869473176,0.5493035443387119,4900.678051303268
extreme_greed,buy,715,5556.406975,7.771198566433566,0.14545454545454545,4575.065734265734
extreme_greed,sell,1801,630622.876968,350.15151414103275,0.8250971682398668,2174.0429261521376
